timestamp,pair_id,strategy,k_price,p_price,intended_qty,theoretical_profit,k_fill_qty,k_fill_time_ms,k_status_code,p_fill_qty,p_fill_time_ms,p_status_code,outcome,unwind_action,unwind_pnl,net_realized_pnl
2026-07-15T00:48:47.810414Z,TSLA-26-ROBOTAXI-LAUNCH,Kalshi NO / PM YES,44,50,113,19371,0,74,429,0,141,500,failed_no_fill,none,0,0
2026-07-15T01:28:55.333764Z,UNEMP-26-JUL-LT-4.0,Kalshi YES / PM NO,49,40,137,20029,0,49,500,0,136,200,failed_no_fill,none,0,0
2026-07-15T01:56:10.381181Z,HEAT-26-TX-JUL-RECORD,Kalshi NO / PM YES,27,29,115,14813,115,144,200,22,129,200,partial_unwind,market_sell_kalshi,-956,1877
2026-07-15T03:42:24.401158Z,SPACE-26-STARSHIP-ORBIT,Kalshi NO / PM YES,42,54,116,12163,116,105,200,116,145,200,success,none,0,12163
2026-07-15T05:22:51.712395Z,KXHIGHTSFO-26JUL15-T71,Kalshi NO / PM YES,50,29,60,9652,0,103,500,0,42,500,failed_no_fill,none,0,0
2026-07-15T05:41:51.043922Z,KXHIGHLAX-26JUL15-T71,Kalshi YES / PM NO,51,35,129,20045,129,99,200,129,189,200,success,none,0,20045
2026-07-15T06:25:10.477129Z,CPI-26-JUL-LT-3.0,Kalshi NO / PM YES,46,51,129,14226,129,147,200,129,136,200,success,none,0,14226
2026-07-15T06:55:31.877903Z,GOV-26-CA-NEWSOM,Kalshi YES / PM NO,55,30,131,19438,0,95,500,0,162,429,failed_no_fill,none,0,0
2026-07-15T07:18:52.711617Z,FDA-26-CRISPR-APPROVAL-SICKLE,Kalshi NO / PM YES,49,28,22,2420,22,107,200,22,93,200,success,none,0,2420
2026-07-15T07:54:49.095116Z,NBA-26-CHAMPS-BOS,Kalshi NO / PM YES,22,61,128,24745,128,138,200,0,63,429,leg_failed_unwind,market_sell_kalshi,-2452,-2452
2026-07-15T07:58:23.092869Z,NFL-26-SB-CHAMPS-KC,Kalshi NO / PM YES,28,59,186,22403,186,134,200,186,123,200,success,none,0,22403
2026-07-15T11:06:43.563736Z,GOV-26-CA-NEWSOM,Kalshi YES / PM NO,37,60,91,18063,91,139,200,91,132,200,success,none,0,18063
2026-07-15T11:43:52.600911Z,BTC-26-100K-EOY,Kalshi YES / PM NO,47,29,132,16064,132,40,200,132,170,200,success,none,0,16064
2026-07-15T12:07:46.396926Z,SP500-26-JUL15-GT-6000,Kalshi YES / PM NO,56,36,144,22875,144,47,200,0,125,429,leg_failed_unwind,market_sell_kalshi,-1634,-1634
2026-07-15T12:33:32.032613Z,BOXOFFICE-26-AVATAR3-GT-2B,Kalshi NO / PM YES,26,31,197,21804,197,92,200,197,106,200,success,none,0,21804
2026-07-15T13:13:53.064459Z,OSCARS-26-BEST-PICTURE-NOLAN,Kalshi YES / PM NO,59,33,128,22473,0,143,200,0,175,200,failed_no_fill,none,0,0
2026-07-15T13:23:33.762183Z,KXHIGHTSFO-26JUL15-T71,Kalshi YES / PM NO,53,29,76,10047,76,134,200,76,184,200,success,none,0,10047
2026-07-15T13:29:48.562034Z,SP500-26-JUL15-GT-6000,Kalshi YES / PM NO,52,21,33,4477,33,108,200,33,149,200,success,none,0,4477
2026-07-15T14:29:08.826643Z,NFL-26-SB-CHAMPS-KC,Kalshi NO / PM YES,26,65,20,3446,20,46,200,20,48,200,success,none,0,3446
2026-07-15T17:12:48.201180Z,KXHIGHCHI-26JUL15-T79,Kalshi YES / PM NO,35,50,195,30951,0,43,500,0,175,429,failed_no_fill,none,0,0
2026-07-15T17:21:13.107922Z,NFL-26-SB-CHAMPS-KC,Kalshi NO / PM YES,23,72,122,18058,122,92,200,122,73,200,success,none,0,18058
2026-07-15T17:46:43.504519Z,FDA-26-CRISPR-APPROVAL-SICKLE,Kalshi YES / PM NO,48,39,10,1364,0,107,429,0,87,429,failed_no_fill,none,0,0
2026-07-15T18:42:03.255385Z,GPT-26-AGI-ACHIEVED-Q3,Kalshi NO / PM YES,22,61,79,12576,0,101,429,0,136,500,failed_no_fill,none,0,0
2026-07-15T18:43:30.539453Z,HURRICANE-26-CAT5-FL,Kalshi NO / PM YES,40,23,59,11597,0,114,429,0,166,500,failed_no_fill,none,0,0
2026-07-15T20:01:44.630228Z,KXHIGHTSFO-26JUL15-B72.5,Kalshi NO / PM YES,35,25,129,22591,0,107,200,0,61,200,failed_no_fill,none,0,0
2026-07-15T21:55:03.248133Z,KXHIGHCHI-26JUL15-T79,Kalshi NO / PM YES,29,69,63,11290,63,109,200,0,94,500,leg_failed_unwind,market_sell_kalshi,-2190,-2190
