timestamp,strategy,kalshi_side,pm_side,volume_scaled,profit_scaled,allocations
1785715977.762957,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785715980.7329721,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785715984.869827,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785716422.170609,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785716424.177139,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785716429.165781,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785716431.1679192,Kalshi YES / PM NO,yes,no,1141,14174,1141@K8/P78
1785716987.620018,Kalshi YES / PM NO,yes,no,684,8476,684@K8/P78
1785717228.268037,Kalshi YES / PM NO,yes,no,272377,3364778,268777@K8/P78|3600@K8/P86
1785717233.2883961,Kalshi YES / PM NO,yes,no,272377,3364778,268777@K8/P78|3600@K8/P86
1785717241.5435882,Kalshi YES / PM NO,yes,no,272377,3364778,268777@K8/P78|3600@K8/P86
1785717266.170215,Kalshi YES / PM NO,yes,no,272377,3364778,268777@K8/P78|3600@K8/P86
